,gameId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
171,3320779522,1,2,2,1,1,2,1
172,3292256236,2,2,2,2,1,0,2
173,3285648979,1,1,2,0,2,0,2
174,3319744291,2,1,1,0,1,0,1
175,3233271653,2,1,2,2,2,0,2
176,3328257946,1,1,1,0,1,1,1
177,3318631365,1,2,2,0,1,2,2
178,3330134561,2,1,1,0,0,0,1
179,3329879618,1,2,2,2,2,2,2
180,3315337879,1,1,1,0,1,0,1
181,3324357625,2,2,2,0,2,0,2
182,3319890638,2,2,2,1,2,0,2
183,3319065982,2,1,2,1,2,0,2
184,3327210456,1,2,1,2,1,0,1
185,3220489176,2,1,1,0,1,0,1
186,3329988115,1,2,1,1,1,0,1
187,3218051336,1,1,1,1,1,1,1
188,3273955910,2,2,1,1,2,2,1
189,3306378109,1,2,2,2,2,1,2
190,3325854973,2,2,1,1,2,1,1
191,3321667006,1,2,2,0,2,0,2
192,3290591993,2,2,2,0,1,0,2
193,3317891706,1,2,1,0,2,0,1
194,3317698956,1,1,2,0,1,0,2
195,3306848074,2,2,2,2,2,1,2
196,3325741387,2,2,1,1,2,2,1
197,3325298155,1,1,2,1,2,1,2
198,3329216618,2,1,1,0,1,1,1
199,3325562798,2,2,1,2,2,0,1
200,3276082388,1,1,1,1,1,1,1
201,3283697742,1,1,1,0,1,2,1
202,3228196248,2,1,1,0,1,0,1
203,3328076986,1,1,2,0,1,0,2
204,3323442409,1,1,1,1,1,1,1
205,3319441119,1,1,2,0,2,0,2
206,3263331345,1,1,1,2,1,1,2
207,3326346692,1,1,1,0,1,0,1
208,3230623742,2,1,2,1,2,0,2
209,3324155100,2,2,1,1,2,2,1
210,3318820361,1,1,0,0,1,1,1
211,3275942117,2,2,1,2,2,0,1
212,3250588648,1,2,2,2,2,2,2
213,3319715822,2,2,2,2,2,2,2
214,3330134587,1,2,1,1,2,2,2
215,3243187691,2,2,2,2,2,2,2
216,3319504763,1,1,1,1,1,2,1
217,3313871700,1,2,1,1,2,0,1
218,3328007564,2,2,2,2,2,2,2
219,3288405925,1,1,1,1,1,1,1
220,3331121626,2,1,2,1,1,0,2
221,3264021701,2,2,2,2,2,0,2
222,3272272302,2,2,2,0,2,2,2
223,3300517697,1,1,1,0,1,0,2
224,3327231780,1,1,2,2,2,2,2
225,3262821388,1,1,1,0,0,0,1
226,3330161935,2,1,1,1,1,1,1
227,3255360670,2,2,2,2,2,0,2
228,3301391824,1,2,2,2,2,2,2
229,3326857244,1,1,1,0,1,1,1
230,3308173394,1,1,1,0,1,0,1
231,3324583766,1,2,2,1,2,1,2
232,3286830044,1,1,2,1,2,2,1
233,3321180520,2,1,1,1,1,1,1
234,3324574640,2,1,2,1,1,1,2
235,3331074547,1,2,1,1,2,2,1
236,3301419496,1,2,2,1,1,2,2
